request_id,ok,ttft,latency,prompt_tokens,completion_tokens,total_tokens,token_count_source,output_chars,tpot,timed_out,error
129,True,0.029452777933329344,1.7121625060681254,158,128,286,server_usage,611,0.013249682898699182,False,
130,True,0.07903037685900927,1.7262568247970194,158,128,286,server_usage,611,0.012970286991637875,False,
131,True,0.07841199403628707,1.727589254034683,158,128,286,server_usage,588,0.012985647716522804,False,
132,True,0.07852037716656923,1.724266559118405,159,128,287,server_usage,587,0.012958631353951462,False,
133,True,0.07814176520332694,1.7255617671180516,157,128,285,server_usage,611,0.01297181103869862,False,
134,True,0.07748560002073646,1.7222869431134313,156,128,284,server_usage,587,0.012951191677895236,False,
135,True,0.07688982808031142,1.7248642740305513,158,128,286,server_usage,611,0.012976176739765668,False,
136,True,0.07618301687762141,1.7231156518682837,157,128,285,server_usage,587,0.012967973503863483,False,
137,True,0.07651713700033724,1.7221913230605423,160,128,288,server_usage,587,0.01295806445716697,False,
138,True,0.07527086115442216,1.724001290043816,159,128,287,server_usage,591,0.01298212936133381,False,
139,True,0.07455087499693036,1.721984833944589,160,128,288,server_usage,611,0.012971920936595736,False,
140,True,0.13163787894882262,1.7268105170223862,159,128,287,server_usage,587,0.012560414473020186,False,
141,True,0.1312223868444562,1.7238754129502922,154,128,282,server_usage,473,0.01254057500870737,False,
142,True,0.13192015094682574,1.7220626608468592,162,128,290,server_usage,587,0.012520807164567193,False,
143,True,0.1299999060574919,1.7196792140603065,160,128,288,server_usage,611,0.012517159905533974,False,
144,True,0.13043555594049394,1.7223348231054842,158,128,286,server_usage,611,0.012534639898936932,False,
145,True,0.13004314713180065,1.722639586078003,159,128,287,server_usage,611,0.012540129440521278,False,
146,True,0.12920395797118545,1.7207674928940833,152,128,280,server_usage,506,0.012531996337975573,False,
147,True,0.12938132183626294,1.7193731178995222,159,128,287,server_usage,611,0.012519620441442987,False,
148,True,0.12859518104232848,1.7207329170778394,160,128,288,server_usage,611,0.012536517606578826,False,
149,True,0.12823956203646958,1.7212504318449646,158,128,286,server_usage,577,0.012543392675657442,False,
150,True,0.12783252610825002,1.7178078119177371,160,128,288,server_usage,577,0.01251949043944478,False,
151,True,0.12701490707695484,1.721921854885295,157,128,285,server_usage,611,0.012558322423687719,False,
152,True,0.16904528997838497,1.7284406458493322,160,128,288,server_usage,611,0.012278703589535018,False,
153,True,0.1692106320988387,1.728986734058708,157,128,285,server_usage,611,0.012281701590235191,False,
154,True,0.1689483979716897,1.7293020668439567,159,128,287,server_usage,577,0.012286249361198954,False,
155,True,0.16737511684186757,1.7268685169983655,157,128,285,server_usage,611,0.012279475591783448,False,
156,True,0.16895534098148346,1.7263065290171653,160,128,288,server_usage,588,0.012262607779808518,False,
